id,username,email,first_name,last_name,role,status,created_at,has_client_account,has_merchant_account,tx_as_client,tx_as_merchant,approved_tx_as_client,approved_tx_as_merchant,likely_test_account,structurally_real,real_user_candidate
8064f364-6cff-4efb-a8e5-b05c26c8de5f,admin,admin@pmp.local,System,Admin,ADMIN,ACTIVE,2026-01-31 21:06:53.932257,f,f,0,0,0,0,f,f,f
918c43e2-73b9-4546-9040-aa19024cc323,marchand_test,marchand@test.com,Marie,Commerce,MERCHANT,ACTIVE,2026-01-31 21:50:03.124056,f,f,0,0,0,0,t,f,f
71a51b96-0285-4070-ac5d-60f9f698b3ea,client_1771257520803,client_1771257520803@example.test,Client,Instant,ROLE_CLIENT,ACTIVE,2026-02-16 15:58:41.248598,t,f,2,0,2,0,t,t,f
16bcf35d-e54b-4f87-9d76-4eb52a74057c,transfer_invalid_372844789,transfer.invalid.372844789@pmp.local,Transfer,Invalid,ROLE_CLIENT,ACTIVE,2026-02-16 15:39:31.049589,t,f,0,0,0,0,t,t,f
f42b503c-afec-4283-8e29-79128c2ff41b,transfer_types_1705493741,transfer.types.1705493741@pmp.local,Transfer,Types,ROLE_CLIENT,ACTIVE,2026-02-16 15:39:22.624809,t,f,0,0,0,0,t,t,f
eb6f7a54-0e56-4dcb-9c97-d6eedd0f0178,cors_client_1416710793,cors.client.1416710793@pmp.local,Cors,Client,ROLE_CLIENT,ACTIVE,2026-02-16 14:46:04.74689,t,f,1,0,1,0,t,t,f
e434a9b3-2836-4bb0-b040-1d6e0916f117,cors_client_285834750,cors.client.285834750@pmp.local,Cors,Client,ROLE_CLIENT,ACTIVE,2026-02-16 14:45:55.075792,t,f,1,0,1,0,t,t,f
a252223b-7168-4802-a2ed-2221ff455bfb,cors_client_1841351226,cors.client.1841351226@pmp.local,Cors,Client,ROLE_CLIENT,ACTIVE,2026-02-16 14:39:37.87751,t,f,0,0,0,0,t,t,f
d4bbae05-6311-43e2-8c8b-88907ed8aaf8,cors_client_1805201330,cors.client.1805201330@pmp.local,Cors,Client,ROLE_CLIENT,ACTIVE,2026-02-16 14:39:24.284175,t,f,1,0,1,0,t,t,f
6a48e980-ad37-443c-8dab-761e2385b697,client2fa_1668996735,client2fa_1668996735@pmp.edu,TwoFA,Client,ROLE_CLIENT,ACTIVE,2026-02-16 14:24:32.538857,t,f,0,0,0,0,t,t,f
cc2b2fce-7e80-4e6c-b6f9-b50e65566584,alice.client.686161175,alice.client.686161175@test.com,Alice,Client,ROLE_CLIENT,ACTIVE,2026-02-16 14:24:16.274158,t,f,1,0,1,0,t,t,f
e70f8879-d635-4cf1-b0ee-a3a4ec091e71,alice.client.255715155,alice.client.255715155@test.com,Alice,Client,ROLE_CLIENT,ACTIVE,2026-02-15 16:19:30.643071,t,f,1,0,1,0,t,t,f
9b3d52e6-fc64-4434-8dbc-6c70cca8f25a,alice.client.1415349942,alice.client.1415349942@test.com,Alice,Client,ROLE_CLIENT,ACTIVE,2026-02-15 13:45:15.051791,t,f,1,0,1,0,t,t,f
cccf44f5-6c61-4ee2-91ac-d16b7e2e8146,alice.client.1788254542,alice.client.1788254542@test.com,Alice,Client,ROLE_CLIENT,ACTIVE,2026-02-14 15:29:36.015752,t,f,1,0,1,0,t,t,f
53811a46-4fb3-4590-839a-fb17dbd7e1e5,client2fa_765625081,client2fa_765625081@pmp.edu,TwoFA,Client,ROLE_CLIENT,ACTIVE,2026-02-14 14:49:54.356508,t,f,0,0,0,0,t,t,f
11a331e3-cf05-4441-8505-ae8d834fb492,alice.client.341770427,alice.client.341770427@test.com,Alice,Client,ROLE_CLIENT,ACTIVE,2026-02-14 14:49:10.236056,t,f,1,0,1,0,t,t,f
a964c3e6-7680-44d2-9c61-4c489f6fda9a,client2fa_1299730669,client2fa_1299730669@pmp.edu,TwoFA,Client,ROLE_CLIENT,ACTIVE,2026-02-14 14:49:03.123957,t,f,0,0,0,0,t,t,f
b475b5d7-0f27-41e6-bcf4-b7a0d1fc58a0,alice.client.337910161,alice.client.337910161@test.com,Alice,Client,ROLE_CLIENT,ACTIVE,2026-02-14 14:35:08.293368,t,f,1,0,1,0,t,t,f
7d0c820d-e5ed-449b-a2b9-66abf9b8d046,client_820833847,client_820833847@test.local,Test,client,ROLE_CLIENT,ACTIVE,2026-02-14 14:28:39.518779,t,f,0,0,0,0,t,t,f
3a783706-b61d-480f-8999-37a3392950d1,alice.client.1852550710,alice.client.1852550710@test.com,Alice,Client,ROLE_CLIENT,ACTIVE,2026-02-14 14:28:36.480906,t,f,1,0,1,0,t,t,f
656c281d-83f8-4c6b-a840-53da948883a9,client_20260208210041,client_20260208210041@pmp.local,Client,Demo,ROLE_CLIENT,ACTIVE,2026-02-08 20:00:41.639284,t,f,1,0,1,0,t,t,f
3b1d2bd7-364e-4294-b904-92d556215588,philoblg,philoblg@pmp.edu,philo,.,ROLE_CLIENT,ACTIVE,2026-02-08 12:03:53.963756,t,f,0,0,0,0,f,t,t
a3a4865d-0af4-437e-b808-16205917f8d7,georgebalog,georgebalog@pmp.local,George,Balog,ROLE_CLIENT,ACTIVE,2026-02-08 11:02:15.287363,t,f,0,0,0,0,f,t,t
186fc58b-6895-4653-8061-c623fd7879d5,client_tl_1770137010289,client.timeline.1770137010289@pmp.local,Client,Timeline,ROLE_CLIENT,ACTIVE,2026-02-03 16:43:30.621571,t,f,3,0,3,0,t,t,f
c8fc82d3-a3d1-4a58-9e14-686c567befab,total.client2.1770136211082,total.client2.1770136211082@pmp.local,Total,Client2,ROLE_CLIENT,ACTIVE,2026-02-03 16:30:12.740337,t,f,0,0,0,0,f,t,t
dfc5f7f7-59ba-4fb4-a384-4bb0fb8ababf,total.client1.1770136211082,total.client1.1770136211082@pmp.local,Total,Client1,ROLE_CLIENT,ACTIVE,2026-02-03 16:30:12.468973,t,f,1,0,1,0,f,t,t
bf8c3be7-847b-42e0-ae00-a5e34816e9e2,client_tl_1770134456179,client.timeline.1770134456179@pmp.local,Client,Timeline,ROLE_CLIENT,ACTIVE,2026-02-03 16:00:56.53675,t,f,3,0,3,0,t,t,f
76eff36b-feb7-4d6a-8d94-38c2e730e036,client_tl_1770133903955,client.timeline.1770133903955@pmp.local,Client,Timeline,ROLE_CLIENT,ACTIVE,2026-02-03 15:51:44.2653,t,f,3,0,3,0,t,t,f
