id,username,email,first_name,last_name,role,status,created_at,has_client_account,has_merchant_account,tx_as_client,tx_as_merchant,approved_tx_as_client,approved_tx_as_merchant,likely_test_account,real_user_candidate
3b1d2bd7-364e-4294-b904-92d556215588,philoblg,philoblg@pmp.edu,philo,.,ROLE_CLIENT,ACTIVE,2026-02-08 12:03:53.963756,t,f,0,0,0,0,f,t
a3a4865d-0af4-437e-b808-16205917f8d7,georgebalog,georgebalog@pmp.local,George,Balog,ROLE_CLIENT,ACTIVE,2026-02-08 11:02:15.287363,t,f,0,0,0,0,f,t
c8fc82d3-a3d1-4a58-9e14-686c567befab,total.client2.1770136211082,total.client2.1770136211082@pmp.local,Total,Client2,ROLE_CLIENT,ACTIVE,2026-02-03 16:30:12.740337,t,f,0,0,0,0,f,t
dfc5f7f7-59ba-4fb4-a384-4bb0fb8ababf,total.client1.1770136211082,total.client1.1770136211082@pmp.local,Total,Client1,ROLE_CLIENT,ACTIVE,2026-02-03 16:30:12.468973,t,f,1,0,1,0,f,t
7c9232df-5ec9-46a8-be8a-ec1864dbcb10,sophie_martin_1788724596,sophie.martin.1788724596@gmail-test.com,Sophie,Martin,ROLE_CLIENT,ACTIVE,2026-02-02 10:52:13.582753,t,f,0,0,0,0,f,t
f98aa637-c3fd-4449-a580-0cd9b0269e3a,client,client@pmp.local,Sophie,Client,ROLE_CLIENT,ACTIVE,2026-02-02 10:40:27.381272,t,f,1,0,1,0,f,t
72260290-8283-4c54-8ef0-ea48fbaaca02,julie_student_1630105258,julie.student.1630105258@univ-lyon.fr,Julie,Dubois,ROLE_ETUDIANT,ACTIVE,2026-02-15 16:19:27.540648,f,f,0,0,0,0,f,t
f2ae43a5-d627-49ef-b4bc-763aa7b66593,julie_student_1589271305,julie.student.1589271305@univ-lyon.fr,Julie,Dubois,ROLE_ETUDIANT,ACTIVE,2026-02-15 13:45:11.528869,f,f,0,0,0,0,f,t
062942f5-f7f8-4f6d-8ab7-c8e215958663,julie_student_927530940,julie.student.927530940@univ-lyon.fr,Julie,Dubois,ROLE_ETUDIANT,ACTIVE,2026-02-14 15:29:31.617993,f,f,0,0,0,0,f,t
f434145a-217e-41b5-8a89-9e61e7a4edd2,julie_student_317475632,julie.student.317475632@univ-lyon.fr,Julie,Dubois,ROLE_ETUDIANT,ACTIVE,2026-02-14 14:49:02.323815,f,f,0,0,0,0,f,t
728fb71c-fd04-4ddd-bf5b-219506b31994,student_ver2_60230378,student_ver2_60230378@pmp.edu,Test,Student,ROLE_ETUDIANT,ACTIVE,2026-02-14 14:49:01.827447,f,f,0,0,0,0,f,t
6531134b-48b6-495c-a6fe-d1f144230d26,student_ver2_1086318341,student_ver2_1086318341@pmp.edu,Test,Student,ROLE_ETUDIANT,ACTIVE,2026-02-14 14:35:38.074102,f,f,0,0,0,0,f,t
7b0a123e-e826-42c3-81f6-75822b7b9de2,student_journey_688384316,student.journey.688384316@pmp.edu,Student,Journey,ROLE_ETUDIANT,ACTIVE,2026-02-14 14:35:35.56745,f,f,0,0,0,0,f,t
e8c5e475-4550-4d02-8196-ef1b8105d8e2,julie_student_569100458,julie.student.569100458@univ-lyon.fr,Julie,Dubois,ROLE_ETUDIANT,ACTIVE,2026-02-14 14:28:36.591939,f,f,0,0,0,0,f,t
94b0e2df-7cbc-4453-93cb-de158d021503,julie_student_1872831343,julie.student.1872831343@univ-lyon.fr,Julie,Dubois,ROLE_ETUDIANT,ACTIVE,2026-02-13 16:02:16.195328,f,f,0,0,0,0,f,t
80975e3c-c895-48fa-9513-4ad4ea6680a0,quizlist_diag_89345178,quizlist.diag.89345178@univ-lyon.fr,Julie,Dubois,ROLE_ETUDIANT,ACTIVE,2026-02-13 15:56:03.816857,f,f,0,0,0,0,f,t
6f3afe75-3b83-4dd9-9cef-c22db7bb96f0,ctf_diag_299701661,ctf.diag.299701661@univ-lyon.fr,Julie,Dubois,ROLE_ETUDIANT,ACTIVE,2026-02-13 15:50:50.389718,f,f,0,0,0,0,f,t
3fc88f5d-3f24-43c2-b928-d452d99aa126,route_diag_564453204,route.diag.564453204@univ-lyon.fr,Julie,Dubois,ROLE_ETUDIANT,ACTIVE,2026-02-13 15:49:59.163816,f,f,0,0,0,0,f,t
